"annotation_id","annotator","created_at","id","lead_time","sector","short_description","title","updated_at"
101,"1","2025-01-29T05:54:36.686534Z",1,10.4,"Backend","Q1. URL의 구성 요소 중 쿼리가 무엇인지 실제 웹 서비스의 URL을 예시로 설명해 주세요.

1. URL의 구성요소

 먼저 네트워크상에서 자원(Resource)을 주고받으려면 자원을 식별할 수 있
어야 합니다. 자원을 식별할 수 있는 정보를 URI(Unifor ","[코드잇 스프린트 Node.js 백엔드 1기] 위클리 페이퍼 - 1주차","2025-01-29T05:54:36.686553Z"
102,"1","2025-01-29T05:54:43.279755Z",2,6.479,"Frontend","공식홈피를 기반 했지만 제 입맛에 따라 해석 했음을 알려드립니다.

프롤로그
때는 바야흐로 2024년 5월 fsd 아키텍처가 유행하기 시작 했다. 마침 회사의 프로젝트 두개를 하나로 합치는 프로젝트를 시작 하는 나로써는 매우나도 유혹적인 글이었습니다.
하지만 지금 처럼","FSD 간단하게 시작해보기","2025-01-29T05:54:43.279774Z"
103,"1","2025-01-29T05:54:45.477998Z",3,2.074,"CS","면접을 위한 CS 전공지식 노트 - 2.3 네트워크 기기","[면접을 위한 CS 전공지식 노트] 2.3 네트워크 기기","2025-01-29T05:54:45.478017Z"
104,"1","2025-01-29T05:54:47.032793Z",4,1.43,"AI","🎓 강화학습(Reinforcement Learning, RL)이란?
>강화학습(Reinforcement Learning, RL)은 인공지능(AI)과 머신러닝의 한 분야로, 에이전트(Agent)가 환경(Environment)과 상호작용하면서 시행착오(Trial and ","🎓 Reinforcement learning - 1","2025-01-29T05:54:47.032811Z"
105,"1","2025-01-29T05:54:51.911492Z",5,4.753,"etc","논리적으로 제품을 만들 수 있도록 도와주는 프레임워크 중 하나.사용자에 대한 이해를 기반으로 문제를 찾고 제품을 만들어 검증하는 프로세스.공감하기 Empathy 문제 정의하기 Define아이디어 발산하기 Ideate프로토타입 만들기 Prototype테스트하기 Test데","TIL-2","2025-01-29T05:54:51.911510Z"
106,"1","2025-01-29T05:54:53.893892Z",6,1.815,"AI","강화학습은 에이전트가 환경과 상호작용하며 시행착오를 통해 최적의 행동을 학습하는 순차적 의사결정 문제이다. 이러한 문제를 효과적으로 해결하기 위해서는 환경의 변화를 수학적으로 모델링해야 하며, 이를 설명하는 핵심 개념이 마르코프 과정(Markov Process)이다.마","🎓 Reinforcement learning - 2","2025-01-29T05:54:53.893909Z"
107,"1","2025-01-29T05:54:57.477234Z",7,3.462,"Frontend","프로젝트를 진행할 때, 항상 파일 구조를 어떻게 해야할까? 라는 고민을 했다.기존에는 전통적인 파일 구조를 따라 Model, Service, View를 나누어 역할에 따른 관심사별로 분리하는 방식을 선택했었지만 프로젝트의 규모가 커질수록 애매모호한 파일들이 항상 발생했","FSD(Feature Sliced Design) 적용","2025-01-29T05:54:57.477260Z"
108,"1","2025-01-29T05:54:59.668095Z",8,2.073,"Backend","배경
HTTP rate limit으로 인한 차익 거래 탐색 기회 감소
network latency 개선을 통한 수익성 증가 기대

주요 변화
응답이 원하는 순간에 원하는 순서로 오지 않는다
로직 순환 주기가 짧아졌다

발생하는 문제
동시성 문제

트레이딩 시그널이 감지","차익거래 봇을 만들며 발생한 문제들 (1) - HTTP에서 Websocket으로 재설계 하기","2025-01-29T05:54:59.668117Z"
109,"1","2025-01-29T05:55:01.827471Z",9,2.034,"etc","데이터가 1000개여도 최대 3개씩만 들어있는 스와이퍼 ㄷㄷ","최대 3개 스와이퍼를 본 적 있으세요 ?","2025-01-29T05:55:01.827485Z"
110,"1","2025-01-29T05:55:03.830141Z",10,1.879,"etc","요즘 취준 기간이 다시 돌아온 것인지 취준생 2분에게 연락이 왔다 ✉️ 그래서 그 분들이 이력서, si 에 대해 물어본 것과 작년에도 4분 정도 메일로 연락주셔서 내가 아는 선에서 답변 해드렸는데 그 내용들을 취합해서 정리해보고자 함😃😃","SI/SM 구조의 회사, 정말 최악일까?
(취준생들이 묻는 질문과 답변)","2025-01-29T05:55:03.830162Z"
111,"1","2025-01-29T05:55:05.491578Z",11,1.561,"etc","개발자라면 누구나 실수를 하면서 배우게 됩니다. 그런데 문제는 “이미 많은 선배님들이 겪은 삽질”을 똑같이 반복한다는 것이죠. 같은 실수를 두 번, 세 번… 하지 않도록, 아래 리스트에서 마음에 꺼림칙한 게 있으면 오늘 당장 예방책을 마련해 봅시다!(개인적인 경험 + ","🏷 주니어 개발자가 자주 하는 실수 모음.zip","2025-01-29T05:55:05.491591Z"
112,"1","2025-01-29T05:55:08.894053Z",12,3.313,"Backend","코인 앱에는 재학생을 위해 학교와 주변 장소 간의 교통 정보를 제공해주는 버스 서비스가 있다.버스 서비스는 셔틀버스, 시외버스(대성고속), 시내버스 각각의 시간표와 특정 시간에서의 가장 빠른 차편 정보를 제공해준다.버스는 다른 도메인에 비해 사용하는 외부 API가 많고","[KOIN] 버스 리팩토링 전 정리","2025-01-29T05:55:08.894068Z"
113,"1","2025-01-29T05:55:11.401832Z",13,2.422,"DevOps","개발환경 세팅하는데 하루날리지말고 dev container로 딸깍합시다.","dev container 를 이용한 개발세팅 ","2025-01-29T05:55:11.401845Z"
114,"1","2025-01-29T05:55:13.343927Z",14,1.843,"etc","이번 블로그도 팀프로젝트하느라 조금 늦어버렸다..3주차 동안은 프로젝트에만 전념했다.. 여유롭게 하진 않았던 것 같은데 발표 전날까지 급하게 해서 끝맺었다.주말에 쉬지도 않고 모두 프로젝트에 투자하면서 모인 우리 팀 모두 칭찬해 주고 싶다.프로젝트를 하면서 프로젝트 진","[한화시스템 BEYOND SW CAMP] 14기 3주차 회고","2025-01-29T05:55:13.343943Z"
115,"1","2025-01-29T05:55:14.789415Z",15,1.327,"etc","3주차는 거의 프로젝트에 올인했다고 봐도 무방한 주차였다. 매일 강의실의 불이 꺼지고 문이 닫힐때까지 우리 팀 모두가 끝까지 남아 주말에는 쉬기 위해 불태웠지만... 불만 탔다.... 팀원들과 모여 프로젝트를 진행하면 할수록 손발이 잘맞아가며 프로젝트 수행 속도가 상당","Beyound SW 14기 3주차 회고","2025-01-29T05:55:14.789436Z"
116,"1","2025-01-29T05:55:17.416797Z",16,2.51,"Backend","스프링 시큐리티를 처음으로 공부하고 프로젝트에 적용하게 되면서 배운 내용들과 생각을 정리한 글이다.😊","나만의 스프링 시큐리티 정리하기","2025-01-29T05:55:17.416818Z"
117,"1","2025-01-29T05:55:18.883646Z",17,1.349,"Frontend","⭐오늘의 집 뜯어보기🕍
","[숙제] UXUI 디자인 입문 1주차 ","2025-01-29T05:55:18.883662Z"
